Camila Rocío Troncoso;2005-04-14;(+57) 464 563 97 45;Monte 111;6011514466666940;camilarociotroncoso14@gmail.com
Luciana Vázquez;2004-10-12;(+57) 468 903 53 65;Cristo 1230;6011514782222220;lucivazquez2004@gmail.com
Brisa Pérez;2004-09-23;(+57) 413 194 15 65;Malvinas 201;6011514782221140;perez2019494@gmail.com
María Luz Murua;2005-02-12;(+57) 467 698 15 12;Monte Cristo 789;3530412333333240;luchy20051@gmail.com
Delfina Cabral;2003-10-21;(+57) 467 698 50 11;Monte Cristo 563;3530414444443240;delfinacabral2018@gmail.com
Paulina Criado;2005-02-27;(+57) 467 698 39 23;Argeninas 653;3530412888999240;paulinacriado@gmail.com
Carlos Lopez;2005-04-10;(+57) 467 698 35 23;Monteto 741;3530411111113220;lichaderiver7@gmail.com
Camila Busano;2005-06-23;(+57) 467 698 65 54;Montesto 1456;3530412622244440;camilabusano66@gmail.com
Laurentino Ponzalino Colombo;2005-06-01;(+57) 467 698 59 21;Monte Cristo 36;3530666666963240;laurentinoponza@gmail.com
Martin Punschke;2005-01-10;(+57) 467 698 75 87;Argentinas 98;3530412577777740;martinalemanpunschke@gmail.com
Valentino Bravi;2004-08-12;(+57) 468 090 37 12;Mi Granja 44;5514236999999960;valenbravi123@gmail.com
Lucia Punschke;2005-01-10;(+57) 460 356 37 02;Malvinas Argentinas 15;5514236888888860;punschkelucia@gmail.com
Alma Olivieri;2004-08-19;(+57) 467 698 56 02;Córdoba 1423;5514236984444560;almaolivieri8@gmail.com
Selene Musaschi;2005-03-10;(+57) 473 194 01 03;Maltinas 9563;5514236981111160;musaschiselene@gmail.com
Rocio Mottura;2005-03-16;(+57) 473 194 30 03 ;Monte Cristo 44;5514266666422260;motturarocio16@gmail.com
Octavio Capotosti;2004-12-20;(+57) 464 563 58 87;Córdoba cap 5;5514236466644250;totoola198@gmail.com
Santino Ripacolli Fuentes;2004-08-09;(+57) 467 698 13 65;Córdoba cap 23;346544411233608;santiripa2004@gmail.com
Ana Aldeco;2004-09-03;(+57) 473 194 07 00;Córdoba cap 6985;346544411233609;paulaaldeco14@gmail.com
Maria Victoria Gimenez;2005-01-10;(+57) 467 698 82 01;Córdoba 2;346544411233610;gimenezmariavictoria03@gmail.com
Martina Francucci;2004-07-22;(+57) 464 563 44 00;Colonia Bremen 78;346544411233611;francuccimartina14@gmail.com
Lucia Ayala;2004-09-11;(+57) 473 194 17 87;Córdoba 410;346544411233612;luciaayala152004@gmail.com
Agustin Gomez;2004-09-20;(+57) 512 178 98 22 ;Colonia Bremen 10;346544411233613;agusgomez3622@gmail.com
Leonardo Boeri;2005-03-10;(+57) 464 563 59 03;Colonia Bremen 963;346544411233614;leonardoboeri@gmail.com
Abigail Torres;2004-08-30;(+57) 468 903 57 87;Cordoba 123;346544411233615;abigailtorresallasia@gmail.com
Tiago Figueroa;2005-04-15;(+57) 465 082 60 65;Córdoba 875;346544411233616;tiagofigueroa22@outlook.com
Maite Mikelianas;2005-05-23;(+57) 460 356 73 00;Colonia Bremen 6;346544411233617;maimikelianas2005@gmail.com
Priscila Rojas;2004-12-23;(+57) 467 698 12 04;Bremen 98;346544411233618;prisi.rojas62@gmail.com
Fabrizio Jaca;2005-04-04;(+57) 454 843 70 45;Colonia 745;346544411233619;fabriziojaca@gmail.com
Delfina Pistelli;2004-08-25;(+57) 467 698 32 20;Colonia Bremen 630;346544411233620;dilfinapistelli@gmail.com
Vicente Bassino Cletti;2005-02-05;(+57) 460 356 18 32;Monsto 203;346544411233621;julianbassino02019@gmail.com
Francisco Villán;2005-06-30;(+57) 463 118 60 23;Matinas 805;346544411233622;fran679bd@gmail.com
Florencia Escalante;2005-04-08;(+57) 467 698 70 89 ;Monto 904;346544411233623;florenciaescalante000@gmail.com
Fermín Mérida;2005-02-07;(+57) 467 698 87 89;Masina 1026;346544411233624;fferminmerida@gmail.com
Mateo Jose Mogliatti;2004-11-08;(+57) 462 253 58 78;Malvinas Argentinas 1100;346544411233625;mateomogliatti@gmail.com
Alice Morguen;2005-01-07;(+57) 464 563 87 54;Monte Cristo 9862;346544411233626;alicemorguen@gmail.com
Ariadna Gabriela Rodríguez Demichelis;2004-11-25;(+57) 464 563 24 15;Monte Cristo 4;346544411233627;rodriguezari124@gmail.com
Florencia Navia;2004-10-19;(+57) 474 658 16 12;Mi Granja 6;346544411233628;florcina11@gmail.com
Martin Andres Costamagna Salcito;2005-01-06;(+57) 467 693 89 65;Monte Cristo 7;346544411233629;martinandrecosta@gmail.com
Cecilia Becerra;2005-05-23;(+57) 463 065 25 56;Monte Cristo 15;30478855555625;becerrachechu@gmail.com
Mariano Peralta;2005-04-07;(+57) 464 563 90 32;Monte Cristo 19;30478858888626;peraltamariano100@gmail.com
Gonzalo Mangiarelli;2005-04-20;(+57) 468 903 75 12;Monte Cristo 1078;30478857777627;gonzalomangiarelli@gmail.com
Regina Nicole Gette;2005-06-14;(+57) 473 194 02 00;Monte Cristo 90;30478855933338;nicolgette34@gmail.com
Klaus Heiland;2005-02-19;(+57) 463 770 69 45;Mi Granja 99;3528444112777730;klausheiland@hotmail.com
Juan Soldevila;2004-08-12;(+57) 456 990 88 22;Malvinas Argentinas 786;3528444666660330;soldejuan8@gmail.com
Maia Bolinger;2004-09-17;(+57) 463 065 33 11;Motne Cristo 63;3528449999900340;maiabolinger7.1@gmail.com
Agustín Tilli Massaro;2005-02-11;(+57) 458 363 07 55;Malvinas Argentinas 963;3528444111111130;agustilli@hotmail.com
Santiago Weht;2004-09-03;(+57) 460 356 69 88;Monte Cristo 452;3528444111171130;santiagoweht@gmail.com
Joaquin Garay;2003-11-25;(+57) 450 895 31 99;Arenales 963;3528444111141130;joaquingaray2003@gmail.com
Lara Geier;2004-07-31;(+57) 455 934 46 44;Monte Cristo 63;3528444111181130;larageier92@gmail.com
Luca Morais Scarpeccio;2004-12-04;(+57) 458 363 05 11;Córdoba 651;3528444111121130;lucamoraisscarpeccio@gmail.com
Laureana Julieta Galeassi;2005-03-10;(+57) 460 356 92 00;Laboulaye 82;3528444113111130;laurigaleassi@gmail.com
Camila Torres;2005-03-15;(+57) 464 563 46 11;Marcos Juárez 93;3528444111161130;torrescami255@gmail.com
Constantino Trey Coronel;2004-12-19;(+57) 458 386 40 22;Corral De Bustos 71;3528444111191130;laflakatinotoni@gmail.com
Juan Ridoni;2005-02-11;(+57) 460 356 14 21;Córdoba 7159;4444555599996630;juani.ridoni@gmail.com
Edgar Geanneret;2004-06-16;(+57) 466 611 02 88;Córdoba 73;4444555119996630;edi16canals@gmail.com
Valentina Capuano;2005-02-17;(+57) 458 363 09 55;Oliva 91;4444555599226630;valencapuano@gmail.com
Carla Dolores Piedra;2005-03-15;(+57) 459 314 48 98;Pilar 95;4444555598886630;carlapiedra2016@gmail.com
Paulina Rousseu Salet;2005-01-10;(+57) 460 356 62 98;Cosquín 9;4444555599906630;prousseusalet@gmail.com
Ludmila Rojas;2004-06-24;(+57) 450 895 49 23;Monte Cristo 735;4444555590096630;lulirojas2004@gmail.com
Agustina Trucco;2004-11-24;(+57) 460 356 47 54;Oliva 915;4444550099996630;agustruccoo1@gmail.com
Guadalupe Garnero;2005-03-15;(+57) 455 934 42 11;Oncativo 672;4444555510996630;guadalupegarnero15@gmail.com
Guillermina Eusebi;2004-10-18;(+57) 464 563 31 22;Salsipuedes 934;4444555591296630;guilleeusebi@gmail.com
Matías Camaño;2004-08-25;(+57) 459 374 42 54;Canals 916;4444555599666630;matycam10@gmail.com
Morena Alsina;2004-09-08;(+57) 458 363 13 78;Corral de Bustos 10;4444555666696630;morecole15@gmail.com
Julia Rolando;2005-01-31;(+57) 458 386 56 88;Córdoba 40;4444533333996630;juliarolando10@gmail.com
Joaquin Finchel;2005-06-20;(+57) 464 563 30 23;Unquillo 607;4444555777796630;joagin05@gmail.com
Guadalupe Fioramontti;2005-01-04;(+57) 458 363 18 12;Laboulaye 908;4444555599000630;guadafiora@gmail.com
Pilar Caceres;2004-10-18;(+57) 460 356 84 11;Monte Cristo 6300;4444555599555630;pilicaceres66@gmail.com
Julieta Ruiz;2004-12-30;(+57) 463 065 26 45;Laboulaye 9000;4444555511116630;julietaruizg1@gmail.com
Abril Agustina Reguilon;2005-01-27;(+57) 453 868 47 78;Mendiolaza 49;4444555597776630;abrilagustina876@gmail.com
Sophia Antonella Salzano;2004-10-31;(+57) 453 513 80 56;Mendiolaza 16;4444554499996630;sophisalzano@gmail.com
Camila Farias;2005-06-14;(+57) 464 563 15 78;Unquillo 1235;4444222599996630;camifarias120@gmail.com
Lucas Luna;2005-05-30;(+57) 463 065 22 65;Mendiolaza 904;4444533339996630;lukitasluna05@gmail.com
Valentín Vega;2004-11-19;(+57) 460 356 45 87;Unquillo 604;4444555577796630;valenvegaa19@gmail.com
Giuliana Giraudi;2004-08-20;(+57) 463 065 27 45;Villa Allende 500;4444555599999930;giuligiraudicole19@gmail.com
Camila Bobadilla;2004-10-29;(+57) 460 356 03 56;Unquillo 5007;4444500099996630;camibobadilla2@gmail.com
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
