luceromilagros939@gmail.com;Milagros Selene Lucero;Montecristo 7895;1999-04-06;(+57) 465 075 24 32;6011514782536940
odettidaniela65@gmail.com;Daniela Alejandra Odetti;Montecristo 45;1995-03-15;(+57) 459 342 97 89;6011514782336940
cami2402more@gmail.com;Camila Milagros Moreno;Montecristo 65;2000-02-27;(+57) 461 288 41 12;6011514782536950
matiaschirino805@gmail.com;Matias Chirino;Monte 745;2004-06-30;(+57) 473 055 19 65;6011514482536940
quirogaantonella12@gmail.com;Antonella Soledad Quiroga;Monte 111;1993-05-11;(+57) 459 639 47 65;6011514782536970
silviaveronicastipp@gmail.com;Silvia Veronica Stipp;Cristo 1230;1977-12-09;(+57) 464 509 52 82;6011514782531940
agustinaluna005@gmail.com;Elisa Agustina Luna;Malvinas 201;1991-04-15;(+57) 466 568 82 65;3530412578963240
celesteortiz042@gmail.com;Celeste Ortiz;Monte Cristo 789;1997-05-01;(+57) 465 059 45 45;3530412571963240
barzolamilagros89@gmail.com;Milagros, Evelyn Barzola;Monte Cristo 563;2000-01-15;(+57) 464 507 49 12;3530412578967240
alemanlucas550@gmail.com;Lucas Alemán;Argeninas 653;2001-10-17;(+57) 467 082 80 22;3530412578963220
oyolafernanda69@gmail.com;Fernanda Oyola;Monteto 741;2003-09-24;(+57) 465 064 16 66;3530412678963240
arrutia31@gmail.com;Maximiliano Arrutia;Montesto 1456;2001-10-09;(+57) 466 568 40 98;3530412577963240
lautymancuso018@gmail.com;Lautaro Mancuso;Monte Cristo 36;2001-07-28;(+57) 469 997 18 66;3530412578964440
ritafumero9@gmail.com;Rita Rosana Fumero;Argentinas 98;1973-11-09;(+57) 465 064 77 54;5514236987412560
paulinaalonso29@hotmail.com;Paulina Baigorria Alonso;Mi Granja 44;1998-12-29;(+57) 466 560 10 23;5514236987772560
tattiurquiza31@gmail.com;Tania Yazmin Urquiza;Malvinas Argentinas 15;2001-09-17;(+57) 471 728 27 23;5514236987488560
herediajenifer801@gmail.com;Jenifer Antonela Heredia;Córdoba 1423;1994-11-24;(+57) 466 558 67 78;5514236987333560
mariajosemondino6@gmail.com;Maris José Mondino;Maltinas 9563;1988-07-13;(+57) 463 793 09 65;5514236987422260
nicolasbidondo5@gmail.com;Nicolas Bidondo;Monte Cristo 44;1997-08-30;(+57) 467 674 23 45;5514236418741250
jeniheredia56@gmail.com;Soledad Juarez;Córdoba cap 5;1997-12-15;(+57) 465 118 88 78;4222654789652140
pablomoreira03.com@gmail.com;Pablo Moreira;Córdoba cap 23;2003-07-28;(+57) 480 699 66 65;4222654449652140
vivi25varela@gmail.com;Viviana Varela;Córdoba cap 6985;1967-08-19;(+57) 461 270 42 22;4222654789666140
leguizamonpablo0@gmail.com;Pablo Leguizamon;Córdoba 2;2001-05-24;(+57) 469 997 93 22;4222654787772140
joacoliva12@gmail.com;Joaquin Eloy Oliva;Córdoba 36;2003-09-03;(+57) 465 061 07 11;4222651111652140
santiagomaiz@outlook.com;Santiago Maiz;Colonia Bremen 78;2003-12-30;(+57) 469 995 68 45;4222654789655550
bonaviaalejo@gmail.com;Alejo Bonavia;Córdoba 410;2003-06-04;(+57) 467 689 22 87;4222654765452140
julicaicholo@hotmail.com;Julio Caicholo;Colonia Bremen 10;2004-01-16;(+57) 459 331 98 55;346544411233695
joaquinloza979@gmail.com;Joaquin Loza;Colonia Bremen 963;2004-05-27;(+57) 465 055 85 66;346544411233696
a.my14@hotmail.com;Yamila Ortiz;Cordoba 123;1994-09-21;(+57) 465 878 50 11;346544411233697
maca.carballo123@gmail.com;Macarena Carballo;Córdoba 875;2005-10-01;(+57) 468 502 45 23;346544411233698
micacufree@gmail.com;Micaela Cufré;Colonia Bremen 6;2005-07-04;(+57) 472 636 68 44;346544411233699
josefinamcaballero1@gmail.com;Josefina María Caballero Campora;Bremen 98;2007-06-27;(+57) 465 070 49 55;346544411233700
pm.moiso@gmail.com;María Paula Moiso;Colonia 745;2005-09-02;(+57) 467 081 80 65;346544411233701
constanciamartinezpaz@gmail.com;Constancia Martínez Paz;Colonia Bremen 630;2006-04-28;(+57) 468 464 22 65;346544411233702
candeferrero25@gmail.com;Candelaria Ferrero Rey Noes;Monsto 203;2005-09-27;(+57) 464 528 64 32;346544411233703
justizavaley@gmail.com;Justina Zavaley;Matinas 805;2006-05-31;(+57) 469 998 72 32;346544411233704
pazbaistrocchi@gmail.com;Maria Paz Baistrocchi;Monto 904;2006-05-19;(+57) 462 216 83 12;346544411233705
abrilbigoglio@gmail.com;Abril Bigoglio;Masina 1026;2006-05-07;(+57) 463 739 52 12;346544411233706
pilarsalcedo1006@gmail.com;Pilar Salcedo;Malvinas Argentinas 1100;2006-01-10;(+57) 461 264 75 77;30478855996622
micaelaortiz549@gmail.com;Micaela Ortiz Noseda;Monte Cristo 9862;2006-05-24;(+57) 463 757 15 75;30478855996623
sollsierra09@gmail.com;Sol Sierra;Monte Cristo 4;2006-01-09;(+57) 460 329 90 45;30478855996624
chloeroldan24@gmail.com;Chloe Sofia Roldan;Mi Granja 6;2006-05-28;(+57) 456 997 74 56;30478855996625
melabarreraseballes@gmail.com;Melanie Danisa Barrera Seballes;Monte Cristo 7;2005-10-14;(+57) 461 298 31 31;30478855996626
luzarguellofiore1000@gmail.com;Luz Argüello;Monte Cristo 15;2006-03-13;(+57) 461 299 40 21;30478855996627
carocobo05@gmail.com;Carolina Cobo;Monte Cristo 19;2005-07-21;(+57) 464 523 60 13;30478855996628
felicitasruizhuidobro1@gmail.com;Felicitas Ruiz Huidobro;Monte Cristo 1078;2006-02-24;(+57) 460 327 22 12;3528444112200330
pilirouviere@gmail.com;Pilar Rouviere;Monte Cristo 90;2005-12-14;(+57) 458 384 81 12;3528444112270330
candemarques0@gmail.com;Maria Candelaria Marqués;Mi Granja 99;2006-03-01;(+57) 458 384 98 45;3528444112200340
catasola25demayo@gmail.com;Catalina Sola;Malvinas Argentinas 786;2005-04-27;(+57) 461 298 53 54;3528444112201130
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
